id,name,category,price,originalPrice,badge,shortDescription,description,thumbnail,image1,image2,image3,image4,colors,tags,featured,inStock,createdAt,detail_Material,detail_Fill,detail_Size,detail_Height,detail_Safe for,detail_Washable,detail_Made to order,detail_Stitch,detail_Blocking,detail_Diameter,detail_Thickness,detail_Quantity,detail_Length,detail_Width,detail_Weight,detail_Circumference,detail_Depth,detail_Stretch,detail_Flower,detail_Handle drop,detail_Weight capacity,detail_Dimensions,detail_Sole,detail_Closure,detail_Sizes,detail_Clip
book-sleeve-001,Daisy Book Sleeve,accessories,899,999,New,Huggable hand-crocheted teddy bear in soft cotton yarn.,"A cute, handmade crochet book sleeve featuring a dreamy blue-and-white/yellow-and-white daisy design. Carefully crocheted with soft yarn, it’s perfect for keeping your books protected from scratches, dust and minor bumps while adding a little personality to your reading routine.",images/thumbnails/book-sleeve-001-thumb.jpg,images/products/book-sleeve-001-main.jpg,images/products/book-sleeve-001-side.jpg,,,Blue|Yellow,gift|bookworm|booklover|nerd,TRUE,TRUE,03/09/2026,Premium acrylic yarn,,,1 inch,,Hand wash lay flat to dry,5-7 business days,,,,,1,9 inches,6 inches,,,,,,,,,,,,
cherry-blossom-pot-001,Cherry Blossom Flower Pot,bouquets & flowers,999,1199,New,A handmade crochet flower pot with delicate pink blossoms.,"Bring a little spring indoors with this charming handmade crochet flower pot. Featuring delicate pink flowers, green leaves and a cozy neutral crochet pot, this piece is designed to add a soft, whimsical touch to your home or workspace.Unlike fresh flowers, this little arrangement never wilts, making it a beautiful keepsake or thoughtful gift for someone special.",images/thumbnails/cherry-blossom-pot-001-thumb.jpg,images/products/cherry-blossom-pot-001-main.jpg,images/products/cherry-blossom-pot-001-side.jpg,,,Pink-Beige,gift|homedecore|desk-decore|flower-pot,TRUE,TRUE,04/09/2026,"Premium acrylic yarn, floral stem",Polyester fiberfill,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
rose-and-bottle-bouquet-001,Rose and Bottle Bouquet,bouquets & flowers,1199,1399,,"A statement handmade bouquet featuring a crochet rose and a detailed crochet bottle replica, made to be gifted and kept forever.","A unique twist on the classic bouquet! This handmade arrangement features a vibrant crochet rose, detailed green leaves and a hand-crocheted bottle replica, beautifully arranged in an aesthetic newspaper-style wrap and finished with a golden ribbon. Unlike a traditional bouquet, every element is handmade and designed to be kept as a long-lasting keepsake. Perfect for birthdays, anniversaries, celebrations or simply surprising someone special.",images/thumbnails/rose-and-bottle-bouquet-001-thumb.jpg,images/products/rose-and-bottle-bouquet-001-main.jpg,images/products/rose-and-bottle-bouquet-001-side.jpg,,,Red-Brown-Green,gift|bouquet|beer-bottle-bouquet|custom-bouquet,FALSE,TRUE,04/09/2026,"Premium acrylic yarn, floral stem",Polyester fiberfill,,,,Not washable,6-7 business days,,,,,,,,,,,,,,,,,,,
spidey-swing-charm-001,Spidey Swing Charm,keychains & bagcharms,499,699,Trending,"A fun crochet Spiderman charm that doubles as a cute car hanging or bag accessory, perfect for adding a little superhero energy wherever you go!","Handcrafted with love, this Spiderman crochet charm features adorable red and black Spiderman-inspired details with a playful, chunky design. It comes with a long crochet hanging loop, making it perfect to hang from your car's rear-view mirror or attach to your favourite bag, backpack, or purse.",images/thumbnails/spidey-swing-charm-001-thumb.jpg,images/products/spidey-swing-charm-001-main.jpg,images/products/spidey-swing-charm-001-side.jpg,,,Red-Black|Red-Blue,bag-charm|gift|spiderman|marvel,TRUE,TRUE,12/09/2026,Premium acrylic yarn,Polyester fiberfill,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
tulip-hair-clutcher-001,Tulip Hair Clutcher,hair accessories,499,599,,"A pretty handmade crochet tulip hair clutcher with delicate lavender blooms, green leaves and pearl accents.","Add a soft floral touch to your everyday hairstyles with our handmade Crochet Tulip Hair Clutcher. Featuring beautifully crocheted lavender tulips, leafy green details and subtle pearl accents, this statement hair accessory is perfect for adding a little charm to your look. Designed with a sturdy claw clip underneath, it’s both pretty and practical. Perfect for buns, ponytails and half-up hairstyles.",images/thumbnails/tulip-hair-clutcher-001-thumb.jpg,images/products/tulip-hair-clutcher-001-main.jpg,images/products/tulip-hair-clutcher-001-side.jpg,,,Lavender,hair-accessory|gift|hair-clutcher|hair-clip,FALSE,TRUE,04/09/2026,Premium cotton yarn,,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
sakura-claw-clip-001,Sakura Claw Clip,hair accessories,499,599,,"A delicate handmade crochet sakura hair clutcher featuring soft pink blossoms, green leaves and dainty pearl accents.","Add a touch of spring to your hairstyle with our Crochet Sakura Hair Clutcher. Inspired by delicate cherry blossoms, this statement accessory features hand-crocheted pink sakura flowers, tiny buds, fresh green leaves and subtle pearl embellishments. The floral arrangement is attached to a sturdy claw clip, making it perfect for ponytails, buns and half-up hairstyles. A beautiful choice for everyday styling, festive outfits, special occasions or gifting.",images/thumbnails/sakura-claw-clip-001-thumb.jpg,images/products/sakura-claw-clip-001-main.jpg,images/products/sakura-claw-clip-001-side.jpg,,,Baby pink,hair-accessory|gift|hair-clutcher|hair-clip,FALSE,TRUE,04/09/2026,Premium cotton yarn,,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
butterfly-claw-clip-001,Butterfly Claw Clip,hair accessories,499,799,Trending,A statement-making crochet butterfly hair claw that adds the cutest handmade touch to any outfit.,"Make your everyday hairstyles a little more fun with this handmade crochet butterfly hair claw. Featuring a bold black, blue/ yellow/ pink and white butterfly design, this unique hair accessory is perfect for adding a playful, aesthetic touch to your look. The crochet butterfly is carefully handmade and attached to a sturdy claw clip, making it both cute and practical for everyday styling.",images/thumbnails/butterfly-claw-clip-001-thumb.jpg,images/products/butterfly-claw-clip-001-main.jpg,images/products/butterfly-claw-clip-001-side.jpg,images/products/butterfly-claw-clip-001-side1.jpg,,Blue-Black|Yellow-Black|Pink-Black,hair-accessory|gift|hair-clutcher|hair-clip,FALSE,TRUE,04/09/2026,Premium acrylic yarn,,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
daisy-bucket-hat-001,Daisy Bucket Hat,wearables,899,1199,,A handmade crochet bucket hat covered in cute daisies. Your new favourite sunny-day accessory.,"Add a little colour and cottagecore charm to your outfits with our handmade crochet daisy bucket hat. Featuring a playful daisy design and a relaxed bucket-hat silhouette, it's perfect for sunny days, vacations, picnics, festivals, and everyday looks. Each hat is carefully crocheted by hand, making every piece unique and full of character.",images/thumbnails/daisy-bucket-hat-001-thumb.jpg,images/products/daisy-bucket-hat-001-main.jpg,images/products/daisy-bucket-hat-001-side.jpg,images/products/daisy-bucket-hat-001-side1.jpg,,Red-White|Yellow-White,bucket-hat|hair-accessory|crochet-hat|daisy-bucket-hat,FALSE,TRUE,04/09/2026,Premium acrylic yarn,,,,,Hand wash lay flat to dry,5-7 business days,,,,,,,,,,,,,,,,,,,
daisy-hair-clutcher-001,Daisy Hair Clutcher,hair accessories,299,399,,"A delicate handmade crochet flower hair clutcher with blue/pink blooms, green leaves and pearl accents, a little floral detail for your everyday look.","Add a soft, feminine touch to your hairstyle with our Crochet Flower Hair Clutcher. Featuring layered blue crochet flowers, tiny green leaves and subtle pearl embellishments, this statement accessory turns even a simple ponytail or bun into a pretty, effortless look. Handmade with care, it's perfect for everyday styling, festive outfits, brunches, picnics and gifting.",images/thumbnails/daisy-hair-clutcher-001-thumb.jpg,images/products/daisy-hair-clutcher-001-main.jpg,images/products/daisy-hair-clutcher-001-side.jpg,images/products/daisy-hair-clutcher-001-side1.jpg,images/products/daisy-hair-clutcher-001-side2.jpg,Pink|Blue,hair-accessory|gift|hair-clutcher|hair-clip,FALSE,TRUE,04/09/2026,Premium cotton yarn,,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
single-flower-clutcher-001,Single Flower Clutcher,hair accessories,199,249,,A cute handmade single-flower crochet clutcher with layered blue/pink petals and a delicate pearl centre.,"Keep your hairstyle effortlessly pretty with our Single Flower Crochet Clutcher. Featuring one beautifully layered crochet flower in soft blue with a pearl centre, this minimal yet eye-catching accessory adds a subtle floral touch to your everyday look. The sturdy claw clip makes it easy to style with a ponytail, bun or half-up hairstyle. Perfect for everyday wear, gifting or adding a handmade touch to your outfit.",images/thumbnails/single-flower-clutcher-001-thumb.jpg,images/products/single-flower-clutcher-001-main.jpg,images/products/single-flower-clutcher-001-side.jpg,,,Blue|Pink,hair-accessory|gift|hair-clutcher|hair-clip,FALSE,TRUE,04/09/2026,Premium cotton yarn,,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
